PM2_5_ISPU,PM10_ISPU,CO_ISPU,NO2_ISPU,O3_ISPU,Kualitas_Udara
222,3,37,102,211,Sangat_Tidak_Sehat
144,150,87,23,98,Tidak_Sehat
41,61,5,103,62,Tidak_Sehat
99,84,29,84,48,Sedang
236,203,18,179,291,Sangat_Tidak_Sehat
20,176,362,365,324,Berbahaya
450,334,457,66,127,Berbahaya
46,21,32,31,69,Sedang
50,6,20,8,38,Baik
153,87,82,11,51,Tidak_Sehat
44,125,23,114,161,Tidak_Sehat
104,227,243,62,170,Sangat_Tidak_Sehat
46,20,15,20,10,Baik
45,14,1,123,114,Tidak_Sehat
242,165,283,278,112,Sangat_Tidak_Sehat
40,34,46,47,17,Baik
0,64,62,53,97,Sedang
7,49,27,27,36,Baik
266,275,103,110,68,Sangat_Tidak_Sehat
48,34,51,10,63,Sedang
36,61,54,61,49,Sedang
40,8,240,171,185,Sangat_Tidak_Sehat
134,108,151,23,18,Tidak_Sehat
20,104,209,208,15,Sangat_Tidak_Sehat
98,12,8,10,74,Sedang
48,107,44,31,148,Tidak_Sehat
88,176,203,133,204,Sangat_Tidak_Sehat
37,25,10,34,7,Baik
133,145,262,269,15,Sangat_Tidak_Sehat
80,285,18,348,33,Berbahaya
90,87,75,222,44,Sangat_Tidak_Sehat
42,15,3,36,20,Baik
34,52,46,70,7,Sedang
425,316,121,34,68,Berbahaya
104,104,30,2,66,Tidak_Sehat
73,54,18,96,1,Sedang
27,4,46,48,29,Baik
16,90,17,115,18,Tidak_Sehat
69,107,200,51,276,Sangat_Tidak_Sehat
73,22,78,172,243,Sangat_Tidak_Sehat
252,143,100,124,15,Sangat_Tidak_Sehat
36,41,11,46,48,Baik
65,9,15,36,66,Sedang
43,43,8,20,23,Baik
123,14,281,93,106,Sangat_Tidak_Sehat
64,57,157,75,258,Sangat_Tidak_Sehat
114,295,218,366,31,Berbahaya
113,84,56,117,106,Tidak_Sehat
58,12,38,27,97,Sedang
28,27,10,0,42,Baik
151,90,188,157,14,Tidak_Sehat
184,91,258,205,275,Sangat_Tidak_Sehat
285,282,138,325,10,Berbahaya
75,103,231,254,42,Sangat_Tidak_Sehat
33,47,11,37,0,Baik
101,83,53,46,99,Tidak_Sehat
355,90,338,125,336,Berbahaya
52,118,202,147,157,Sangat_Tidak_Sehat
26,11,106,51,47,Tidak_Sehat
191,154,63,1,108,Tidak_Sehat
164,179,116,265,37,Sangat_Tidak_Sehat
20,154,26,285,56,Sangat_Tidak_Sehat
40,28,3,4,10,Baik
105,273,96,152,28,Sangat_Tidak_Sehat
38,48,27,32,36,Baik
98,236,256,22,62,Sangat_Tidak_Sehat
139,134,24,58,102,Tidak_Sehat
212,320,349,18,473,Berbahaya
123,132,26,109,96,Tidak_Sehat
339,65,427,25,474,Berbahaya
14,42,28,35,12,Baik
215,108,184,41,8,Sangat_Tidak_Sehat
84,0,33,47,76,Sedang
37,19,33,53,43,Sedang
12,10,45,18,10,Baik
281,207,39,95,385,Berbahaya
45,152,252,22,161,Sangat_Tidak_Sehat
7,38,34,48,98,Sedang
213,226,224,60,106,Sangat_Tidak_Sehat
144,155,200,161,111,Tidak_Sehat
37,62,28,18,104,Tidak_Sehat
26,30,5,26,39,Baik
79,38,44,145,80,Tidak_Sehat
9,33,15,47,50,Baik
237,0,131,223,57,Sangat_Tidak_Sehat
53,21,15,73,34,Sedang
73,142,61,145,372,Berbahaya
50,37,32,22,14,Baik
134,257,68,135,95,Sangat_Tidak_Sehat
187,215,84,191,208,Sangat_Tidak_Sehat
7,22,2,3,24,Baik
110,163,17,66,102,Tidak_Sehat
281,137,365,332,69,Berbahaya
34,15,1,23,9,Baik
30,19,23,24,35,Baik
342,299,128,179,291,Berbahaya
188,320,400,222,127,Berbahaya
50,0,26,51,15,Sedang
89,66,29,12,18,Sedang
92,11,160,111,64,Tidak_Sehat
41,82,76,68,9,Sedang
22,62,78,39,43,Sedang
224,446,160,35,448,Berbahaya
444,312,406,406,276,Berbahaya
69,411,178,76,34,Berbahaya
17,53,50,18,46,Sedang
65,53,71,37,57,Sedang
75,8,67,38,113,Tidak_Sehat
45,49,25,48,49,Baik
219,217,236,93,292,Sangat_Tidak_Sehat
99,39,102,110,121,Tidak_Sehat
40,35,33,35,1,Baik
29,44,5,16,44,Baik
27,55,1,58,61,Sedang
129,69,109,170,170,Tidak_Sehat
139,21,16,166,106,Tidak_Sehat
81,306,65,306,144,Berbahaya
37,20,7,50,57,Sedang
7,2,69,16,13,Sedang
127,70,47,73,119,Tidak_Sehat
77,146,173,89,7,Tidak_Sehat
28,35,50,36,101,Tidak_Sehat
15,7,37,11,23,Baik
37,30,26,4,24,Baik
5,77,56,30,20,Sedang
262,204,50,174,349,Berbahaya
34,13,16,35,49,Baik
10,32,6,64,47,Sedang
154,145,213,76,213,Sangat_Tidak_Sehat
71,4,41,78,41,Sedang
18,75,51,139,45,Tidak_Sehat
85,38,40,217,209,Sangat_Tidak_Sehat
55,20,17,46,5,Sedang
191,43,156,497,475,Berbahaya
250,187,441,298,68,Berbahaya
36,48,40,16,23,Baik
37,68,57,32,58,Sedang
46,70,37,66,75,Sedang
231,110,11,20,293,Sangat_Tidak_Sehat
24,60,53,63,56,Sedang
70,262,45,300,249,Sangat_Tidak_Sehat
97,55,37,10,66,Sedang
34,6,26,27,21,Baik
0,43,44,41,46,Baik
177,64,13,92,130,Tidak_Sehat
103,33,130,126,68,Tidak_Sehat
73,94,146,35,141,Tidak_Sehat
122,249,191,99,213,Sangat_Tidak_Sehat
25,3,45,21,14,Baik
86,145,122,120,77,Tidak_Sehat
153,50,111,103,126,Tidak_Sehat
60,391,432,268,11,Berbahaya
92,67,18,30,34,Sedang
16,37,6,45,12,Baik
48,31,48,34,43,Baik
64,197,26,221,46,Sangat_Tidak_Sehat
33,55,0,38,31,Sedang
127,37,100,131,129,Tidak_Sehat
214,238,412,229,232,Berbahaya
348,151,117,278,134,Berbahaya
60,148,118,64,58,Tidak_Sehat
34,21,43,23,16,Baik
8,26,16,43,59,Sedang
51,0,253,57,234,Sangat_Tidak_Sehat
18,74,129,212,14,Sangat_Tidak_Sehat
65,31,44,196,29,Tidak_Sehat
166,245,410,165,295,Berbahaya
57,52,53,19,49,Sedang
17,29,47,9,17,Baik
53,13,24,53,1,Sedang
133,175,115,180,78,Tidak_Sehat
171,308,95,161,290,Berbahaya
224,82,45,88,294,Sangat_Tidak_Sehat
342,203,161,60,401,Berbahaya
237,119,106,272,197,Sangat_Tidak_Sehat
47,166,46,186,157,Tidak_Sehat
18,296,25,298,63,Sangat_Tidak_Sehat
11,22,11,12,24,Baik
28,3,0,18,25,Baik
17,121,59,121,12,Tidak_Sehat
48,10,38,23,45,Baik
451,3,164,425,299,Berbahaya
286,161,352,216,180,Berbahaya
138,54,18,293,141,Sangat_Tidak_Sehat
3,5,21,25,2,Baik
23,28,138,145,327,Berbahaya
9,31,56,59,47,Sedang
34,7,15,41,35,Baik
7,29,31,35,46,Baik
0,14,36,12,39,Baik
1,26,20,37,14,Baik
152,285,52,173,109,Sangat_Tidak_Sehat
79,15,19,45,66,Sedang
334,440,121,407,64,Berbahaya
43,433,290,459,489,Berbahaya
40,41,32,73,62,Sedang
181,114,6,49,141,Tidak_Sehat
77,277,102,104,210,Sangat_Tidak_Sehat
299,152,16,38,201,Sangat_Tidak_Sehat
343,176,103,235,92,Berbahaya
192,121,76,55,217,Sangat_Tidak_Sehat
33,96,43,139,96,Tidak_Sehat
48,123,189,161,145,Tidak_Sehat
65,66,206,94,47,Sangat_Tidak_Sehat
147,75,167,206,177,Sangat_Tidak_Sehat
30,14,3,39,59,Sedang
8,39,1,44,24,Baik
475,142,247,355,352,Berbahaya
39,40,21,10,22,Baik
212,224,110,185,104,Sangat_Tidak_Sehat
40,2,27,28,8,Baik
13,33,57,21,68,Sedang
7,11,18,51,31,Sedang
14,32,6,11,48,Baik
43,4,38,3,5,Baik
33,120,79,258,52,Sangat_Tidak_Sehat
150,175,188,2,90,Tidak_Sehat
39,37,32,27,0,Baik
127,194,215,183,104,Sangat_Tidak_Sehat
34,43,39,21,26,Baik
44,17,39,20,14,Baik
29,25,47,20,27,Baik
315,255,114,430,402,Berbahaya
249,78,83,171,262,Sangat_Tidak_Sehat
31,113,37,254,113,Sangat_Tidak_Sehat
40,71,73,16,77,Sedang
151,193,190,68,180,Tidak_Sehat
182,62,48,114,154,Tidak_Sehat
318,295,87,260,181,Berbahaya
138,217,176,10,40,Sangat_Tidak_Sehat
45,35,22,0,50,Baik
7,21,5,82,56,Sedang
56,426,300,286,441,Berbahaya
113,87,137,107,275,Sangat_Tidak_Sehat
383,158,309,438,451,Berbahaya
34,34,125,36,85,Tidak_Sehat
13,49,77,135,39,Tidak_Sehat
58,22,6,67,52,Sedang
54,57,45,61,34,Sedang
402,5,377,184,251,Berbahaya
22,36,15,5,7,Baik
60,15,45,7,55,Sedang
188,116,62,183,54,Tidak_Sehat
56,26,19,24,1,Sedang
11,124,298,439,76,Berbahaya
111,254,16,165,8,Sangat_Tidak_Sehat
44,50,7,26,26,Baik
26,41,46,29,40,Baik
130,42,80,2,143,Tidak_Sehat
32,19,65,11,22,Sedang
37,61,58,40,61,Sedang
261,38,10,293,107,Sangat_Tidak_Sehat
80,45,241,192,41,Sangat_Tidak_Sehat
19,49,9,31,84,Sedang
144,338,16,62,266,Berbahaya
40,45,11,5,16,Baik
65,116,42,81,185,Tidak_Sehat
107,50,37,138,206,Sangat_Tidak_Sehat
26,165,61,17,176,Tidak_Sehat
15,79,89,40,6,Sedang
33,44,18,37,15,Baik
4,2,0,37,14,Baik
32,108,17,34,42,Tidak_Sehat
91,52,70,97,23,Sedang
64,68,274,49,90,Sangat_Tidak_Sehat
11,115,129,43,1,Tidak_Sehat
42,25,32,66,44,Sedang
5,8,5,8,38,Baik
148,314,56,301,132,Berbahaya
32,50,42,36,11,Baik
306,177,348,75,45,Berbahaya
200,12,136,51,203,Sangat_Tidak_Sehat
22,78,81,24,105,Tidak_Sehat
100,127,151,81,127,Tidak_Sehat
19,35,78,149,156,Tidak_Sehat
140,150,56,172,85,Tidak_Sehat
8,57,44,21,99,Sedang
61,92,86,23,184,Tidak_Sehat
43,211,174,140,370,Berbahaya
43,46,24,36,46,Baik
56,82,92,81,16,Sedang
293,239,347,400,203,Berbahaya
0,45,15,45,2,Baik
23,33,26,40,0,Baik
337,30,189,145,89,Berbahaya
64,68,60,7,2,Sedang
152,52,184,110,170,Tidak_Sehat
122,186,5,156,193,Tidak_Sehat
150,108,117,170,94,Tidak_Sehat
99,19,68,140,5,Tidak_Sehat
169,150,29,211,58,Sangat_Tidak_Sehat
16,9,16,19,23,Baik
149,109,41,93,128,Tidak_Sehat
214,99,104,130,132,Sangat_Tidak_Sehat
41,1,25,16,39,Baik
122,100,14,113,113,Tidak_Sehat
7,47,49,12,51,Sedang
7,67,41,8,34,Sedang
99,20,36,23,54,Sedang
165,183,24,32,87,Tidak_Sehat
50,214,415,376,411,Berbahaya
23,37,34,29,30,Baik
29,18,16,18,27,Baik
148,163,159,7,100,Tidak_Sehat
83,132,262,43,152,Sangat_Tidak_Sehat
63,59,218,216,327,Berbahaya
8,11,68,76,53,Sedang
385,338,461,142,256,Berbahaya
2,6,26,85,79,Sedang
157,196,148,21,17,Tidak_Sehat
0,133,18,3,76,Tidak_Sehat
31,216,101,161,97,Sangat_Tidak_Sehat
1,39,16,33,41,Baik
73,22,29,17,20,Sedang
18,22,37,17,25,Baik
18,4,56,9,8,Sedang
99,20,52,254,143,Sangat_Tidak_Sehat
125,174,150,167,4,Tidak_Sehat
275,255,142,245,115,Sangat_Tidak_Sehat
111,49,117,13,117,Tidak_Sehat
457,158,321,226,44,Berbahaya
388,279,226,285,448,Berbahaya
418,122,430,172,142,Berbahaya
155,70,98,65,78,Tidak_Sehat
105,79,74,69,108,Tidak_Sehat
47,17,39,34,40,Baik
9,113,32,186,130,Tidak_Sehat
128,14,88,165,176,Tidak_Sehat
53,56,41,119,70,Tidak_Sehat
106,44,85,38,50,Tidak_Sehat
2,72,13,35,66,Sedang
25,26,7,18,41,Baik
39,1,19,0,36,Baik
401,416,411,395,246,Berbahaya
132,145,220,167,0,Sangat_Tidak_Sehat
3,65,37,22,58,Sedang
87,31,261,63,198,Sangat_Tidak_Sehat
120,112,110,240,133,Sangat_Tidak_Sehat
153,344,290,141,255,Berbahaya
1,2,48,36,48,Baik
170,212,252,123,293,Sangat_Tidak_Sehat
14,5,48,29,37,Baik
2,32,3,24,19,Baik
7,4,47,25,17,Baik
3,59,23,13,4,Sedang
4,26,15,5,39,Baik
56,124,68,126,114,Tidak_Sehat
31,47,27,16,30,Baik
43,160,112,207,163,Sangat_Tidak_Sehat
31,28,42,1,22,Baik
38,1,31,12,45,Baik
24,18,38,64,62,Sedang
32,68,79,190,205,Sangat_Tidak_Sehat
95,74,296,127,132,Sangat_Tidak_Sehat
78,193,95,39,263,Sangat_Tidak_Sehat
18,7,47,44,0,Baik
245,315,3,20,207,Berbahaya
19,64,69,0,9,Sedang
5,31,3,10,16,Baik
70,47,90,5,83,Sedang
12,45,44,0,39,Baik
4,26,69,25,26,Sedang
121,77,28,154,72,Tidak_Sehat
127,201,202,37,222,Sangat_Tidak_Sehat
4,112,175,95,35,Tidak_Sehat
27,54,9,50,35,Sedang
2,9,37,0,26,Baik
7,35,37,39,19,Baik
37,52,50,51,3,Sedang
41,82,191,132,104,Tidak_Sehat
11,0,0,46,33,Baik
14,42,47,22,5,Baik
395,398,341,257,410,Berbahaya
484,44,342,140,26,Berbahaya
206,106,193,247,178,Sangat_Tidak_Sehat
84,8,31,14,11,Sedang
68,198,76,170,0,Tidak_Sehat
156,191,170,85,114,Tidak_Sehat
17,30,29,38,34,Baik
346,311,190,262,295,Berbahaya
161,173,101,68,230,Sangat_Tidak_Sehat
44,214,166,65,31,Sangat_Tidak_Sehat
485,418,212,4,118,Berbahaya
146,106,37,133,160,Tidak_Sehat
22,13,62,17,48,Sedang
258,0,26,35,159,Sangat_Tidak_Sehat
38,8,21,42,45,Baik
205,162,36,187,192,Sangat_Tidak_Sehat
240,42,72,210,178,Sangat_Tidak_Sehat
5,2,15,6,13,Baik
96,202,79,202,34,Sangat_Tidak_Sehat
35,115,53,85,31,Tidak_Sehat
336,118,252,84,184,Berbahaya
40,46,69,54,18,Sedang
179,41,150,51,101,Tidak_Sehat
15,22,6,25,69,Sedang
409,62,267,257,143,Berbahaya
386,127,263,220,404,Berbahaya
189,231,157,76,79,Sangat_Tidak_Sehat
249,237,282,170,33,Sangat_Tidak_Sehat
306,194,12,62,12,Berbahaya
16,115,269,115,29,Sangat_Tidak_Sehat
24,49,21,29,19,Baik
181,285,268,38,22,Sangat_Tidak_Sehat
43,111,108,28,73,Tidak_Sehat
236,138,159,238,71,Sangat_Tidak_Sehat
10,9,14,16,39,Baik
37,140,119,34,77,Tidak_Sehat
31,14,59,12,4,Sedang
402,23,140,239,291,Berbahaya
116,374,211,258,162,Berbahaya
444,430,42,406,157,Berbahaya
272,190,96,204,285,Sangat_Tidak_Sehat
283,229,331,294,226,Berbahaya
147,170,118,207,54,Sangat_Tidak_Sehat
14,173,89,289,60,Sangat_Tidak_Sehat
13,105,51,115,146,Tidak_Sehat
62,16,32,10,27,Sedang
292,341,347,274,194,Berbahaya
162,129,266,176,264,Sangat_Tidak_Sehat
18,55,13,72,9,Sedang
28,3,60,101,16,Tidak_Sehat
32,160,95,218,24,Sangat_Tidak_Sehat
318,358,4,395,106,Berbahaya
13,100,208,102,61,Sangat_Tidak_Sehat
240,117,178,147,208,Sangat_Tidak_Sehat
102,89,89,160,120,Tidak_Sehat
33,20,29,32,27,Baik
89,232,214,321,152,Berbahaya
72,57,55,78,30,Sedang
180,44,91,323,33,Berbahaya
131,138,231,257,98,Sangat_Tidak_Sehat
226,95,138,165,79,Sangat_Tidak_Sehat
22,77,71,7,58,Sedang
90,364,15,109,402,Berbahaya
27,61,40,22,44,Sedang
231,49,86,190,46,Sangat_Tidak_Sehat
18,64,79,41,20,Sedang
135,181,8,2,247,Sangat_Tidak_Sehat
176,347,262,372,104,Berbahaya
197,171,11,50,120,Tidak_Sehat
34,1,39,22,8,Baik
147,230,26,472,164,Berbahaya
60,201,204,242,189,Sangat_Tidak_Sehat
22,52,55,8,14,Sedang
66,89,3,105,125,Tidak_Sehat
316,16,295,330,348,Berbahaya
128,462,88,382,404,Berbahaya
59,55,0,28,56,Sedang
212,111,47,178,240,Sangat_Tidak_Sehat
164,52,143,89,4,Tidak_Sehat
65,49,11,22,17,Sedang
15,75,16,63,79,Sedang
37,21,17,13,9,Baik
364,424,124,6,22,Berbahaya
40,53,43,67,26,Sedang
113,23,350,251,266,Berbahaya
186,95,341,496,367,Berbahaya
106,147,191,275,241,Sangat_Tidak_Sehat
8,25,15,4,9,Baik
64,102,20,165,32,Tidak_Sehat
353,197,65,79,51,Berbahaya
43,491,299,127,500,Berbahaya
38,50,5,5,2,Baik
38,93,9,496,407,Berbahaya
65,40,74,87,87,Sedang
40,41,13,10,17,Baik
387,193,318,42,355,Berbahaya
59,95,20,23,105,Tidak_Sehat
51,27,52,25,21,Sedang
9,13,17,50,8,Baik
39,20,15,44,17,Baik
75,19,77,38,3,Sedang
17,42,72,72,5,Sedang
97,267,59,139,275,Sangat_Tidak_Sehat
50,22,23,43,12,Baik
65,132,81,97,285,Sangat_Tidak_Sehat
10,275,55,326,302,Berbahaya
270,422,449,188,259,Berbahaya
0,59,55,63,47,Sedang
30,43,30,22,54,Sedang
48,57,16,19,57,Sedang
9,40,31,33,27,Baik
49,39,57,20,67,Sedang
18,22,28,29,38,Baik
1,9,4,9,32,Baik
146,65,174,192,251,Sangat_Tidak_Sehat
3,142,79,40,131,Tidak_Sehat
2,13,12,44,31,Baik
14,51,16,23,7,Sedang
371,255,437,36,141,Berbahaya
407,467,398,84,116,Berbahaya
163,157,234,200,209,Sangat_Tidak_Sehat
158,79,284,208,9,Sangat_Tidak_Sehat
46,159,157,218,8,Sangat_Tidak_Sehat
133,2,193,65,94,Tidak_Sehat
110,60,109,17,85,Tidak_Sehat
73,156,265,389,88,Berbahaya
228,184,57,142,143,Sangat_Tidak_Sehat
75,212,136,73,144,Sangat_Tidak_Sehat
413,258,457,355,10,Berbahaya
48,39,6,29,6,Baik
284,446,460,217,26,Berbahaya
215,218,48,55,90,Sangat_Tidak_Sehat
44,14,25,36,20,Baik
231,159,126,47,461,Berbahaya
81,144,49,141,14,Tidak_Sehat
44,32,16,5,3,Baik
106,50,35,70,99,Tidak_Sehat
69,188,55,137,215,Sangat_Tidak_Sehat
20,27,10,33,7,Baik
3,16,13,68,6,Sedang
55,38,70,11,54,Sedang
49,47,96,88,55,Sedang
19,35,18,25,2,Baik
197,222,80,255,106,Sangat_Tidak_Sehat
52,78,78,89,22,Sedang
54,147,16,190,132,Tidak_Sehat
81,104,22,96,97,Tidak_Sehat
8,14,20,34,1,Baik
33,267,229,154,164,Sangat_Tidak_Sehat
26,216,103,66,235,Sangat_Tidak_Sehat
11,36,48,48,43,Baik
208,75,151,235,235,Sangat_Tidak_Sehat
46,44,17,37,34,Baik
9,82,90,23,4,Sedang
30,3,48,44,49,Baik
28,25,80,36,52,Sedang
229,219,149,126,135,Sangat_Tidak_Sehat
285,64,119,242,136,Sangat_Tidak_Sehat
24,68,29,75,88,Sedang
416,392,130,451,328,Berbahaya
31,272,272,233,181,Sangat_Tidak_Sehat
190,179,88,111,75,Tidak_Sehat
20,17,4,2,22,Baik
53,37,47,83,19,Sedang
233,167,230,289,60,Sangat_Tidak_Sehat
337,174,28,178,338,Berbahaya
23,139,21,408,328,Berbahaya
23,22,31,36,11,Baik
64,107,2,107,50,Tidak_Sehat
302,330,48,377,282,Berbahaya
155,483,395,401,474,Berbahaya
338,421,464,255,126,Berbahaya
110,240,223,297,424,Berbahaya
1,4,28,36,37,Baik
39,98,94,57,120,Tidak_Sehat
3,64,34,5,30,Sedang
45,47,83,192,160,Tidak_Sehat
20,4,17,27,41,Baik
51,60,40,52,45,Sedang
60,132,134,49,131,Tidak_Sehat
4,43,26,31,20,Baik
240,307,296,114,101,Berbahaya
17,292,170,405,310,Berbahaya
258,91,99,277,191,Sangat_Tidak_Sehat
98,130,85,63,117,Tidak_Sehat
81,406,269,48,205,Berbahaya
446,32,2,283,256,Berbahaya
39,33,141,44,79,Tidak_Sehat
30,8,50,28,13,Baik
214,224,244,1,90,Sangat_Tidak_Sehat
0,254,89,225,246,Sangat_Tidak_Sehat
121,52,355,172,406,Berbahaya
52,35,67,35,95,Sedang
40,29,16,48,19,Baik
157,17,332,127,15,Berbahaya
97,256,39,192,238,Sangat_Tidak_Sehat
56,54,4,15,17,Sedang
29,156,255,264,54,Sangat_Tidak_Sehat
21,7,48,14,16,Baik
59,52,35,61,20,Sedang
238,254,82,169,163,Sangat_Tidak_Sehat
88,178,224,28,186,Sangat_Tidak_Sehat
67,75,28,18,42,Sedang
28,42,24,35,25,Baik
49,269,107,289,81,Sangat_Tidak_Sehat
119,52,50,36,111,Tidak_Sehat
210,28,189,187,305,Berbahaya
41,33,31,44,50,Baik
44,2,21,43,1,Baik
35,111,86,84,138,Tidak_Sehat
178,196,107,166,23,Tidak_Sehat
203,95,278,340,114,Berbahaya
39,34,31,41,33,Baik
86,175,81,241,143,Sangat_Tidak_Sehat
42,73,68,42,24,Sedang
450,330,209,190,157,Berbahaya
111,114,165,305,254,Berbahaya
31,9,15,6,16,Baik
7,40,5,4,43,Baik
233,261,82,270,233,Sangat_Tidak_Sehat
31,49,6,28,7,Baik
62,35,90,23,114,Tidak_Sehat
27,45,50,6,15,Baik
70,17,82,255,230,Sangat_Tidak_Sehat
40,258,120,76,453,Berbahaya
140,205,223,319,277,Berbahaya
45,1,120,86,93,Tidak_Sehat
47,12,8,35,21,Baik
21,43,8,36,9,Baik
26,8,0,10,2,Baik
154,120,331,94,175,Berbahaya
147,97,171,161,30,Tidak_Sehat
63,205,197,119,21,Sangat_Tidak_Sehat
115,437,160,154,172,Berbahaya
343,430,46,199,478,Berbahaya
137,135,258,161,18,Sangat_Tidak_Sehat
33,11,44,6,9,Baik
6,136,69,111,103,Tidak_Sehat
44,41,132,109,8,Tidak_Sehat
376,347,213,238,407,Berbahaya
162,59,156,229,76,Sangat_Tidak_Sehat
54,235,59,274,21,Sangat_Tidak_Sehat
39,50,41,97,49,Sedang
